fighter_1,fighter_2,result,weight_class,method,round,time,fight_link,event_url
Yana Santos,Miesha Tate,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2707dc2245335cc1,http://ufcstats.com/event-details/de20ffb3fc2e7629
Azamat Bekoev,Ryan Loder,win,Middleweight,KO/TKO Punch,1,2:44,http://ufcstats.com/fight-details/77ed474dfc5359ea,http://ufcstats.com/event-details/de20ffb3fc2e7629
Gillian Robertson,Marina Rodriguez,win,Women's Strawweight,KO/TKO Punches,2,2:07,http://ufcstats.com/fight-details/6e26a6293ea6ba62,http://ufcstats.com/event-details/de20ffb3fc2e7629
Quang Le,Gaston Bolanos,win,Bantamweight,SUB Rear Naked Choke,2,1:54,http://ufcstats.com/fight-details/97b32ff27fd457a8,http://ufcstats.com/event-details/de20ffb3fc2e7629
Thomas Petersen,Don'Tale Mayes,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c445401709421fa4,http://ufcstats.com/event-details/de20ffb3fc2e7629
Juliana Miller,Ivana Petrovic,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/469f887278324e63,http://ufcstats.com/event-details/de20ffb3fc2e7629
Ian Machado Garry,Carlos Prates,win,Welterweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/633f4b5ec767769d,http://ufcstats.com/event-details/b2e3aca4cd363477
Zhang Mingyang,Anthony Smith,win,Light Heavyweight,KO/TKO Elbows,1,4:03,http://ufcstats.com/fight-details/a526a72ade275f46,http://ufcstats.com/event-details/b2e3aca4cd363477
David Onama,Giga Chikadze,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4072abf0b0c179f2,http://ufcstats.com/event-details/b2e3aca4cd363477
Abus Magomedov,Michel Pereira,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9bbd45774fb4a6eb,http://ufcstats.com/event-details/b2e3aca4cd363477
Randy Brown,Nicolas Dalby,win,Welterweight,KO/TKO Punch,2,1:39,http://ufcstats.com/fight-details/fbf83609dc96f32e,http://ufcstats.com/event-details/b2e3aca4cd363477
Ikram Aliskerov,Andre Muniz,win,Middleweight,KO/TKO Punches,1,4:54,http://ufcstats.com/fight-details/62fbdd4f0bcd3c2a,http://ufcstats.com/event-details/b2e3aca4cd363477
Matt Schnell,Jimmy Flick,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d8d22dcc1f6912e7,http://ufcstats.com/event-details/b2e3aca4cd363477
Evan Elder,Gauge Young,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/97770b38df67b276,http://ufcstats.com/event-details/b2e3aca4cd363477
Chris Gutierrez,John Castaneda,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/6f3cb7ce84185dd3,http://ufcstats.com/event-details/b2e3aca4cd363477
Da'Mon Blackshear,Alatengheili,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/7d51649373d42571,http://ufcstats.com/event-details/b2e3aca4cd363477
Malcolm Wellmaker,Cameron Saaiman,win,Bantamweight,KO/TKO Punch,1,1:59,http://ufcstats.com/fight-details/c2c20a04a78d9143,http://ufcstats.com/event-details/b2e3aca4cd363477
Jaqueline Amorim,Polyana Viana,win,Women's Strawweight,SUB Rear Naked Choke,2,1:49,http://ufcstats.com/fight-details/e7b3ca036835b7c2,http://ufcstats.com/event-details/b2e3aca4cd363477
Timmy Cuamba,Roberto Romero,win,Featherweight,KO/TKO Flying Knee,2,3:55,http://ufcstats.com/fight-details/23201d09a78d446d,http://ufcstats.com/event-details/b2e3aca4cd363477
Joselyne Edwards,Chelsea Chandler,win,Women's Bantamweight,KO/TKO Punches,1,2:31,http://ufcstats.com/fight-details/7fd6770fe2d4f258,http://ufcstats.com/event-details/b2e3aca4cd363477
Alexander Volkanovski,Diego Lopes,win,Featherweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/e733f148060bef2a,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Paddy Pimblett,Michael Chandler,win,Lightweight,KO/TKO Elbows,3,3:07,http://ufcstats.com/fight-details/d05cb4c4135ce402,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Yair Rodriguez,Patricio Freire,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d3be5a4e0ec273e2,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Jean Silva,Bryce Mitchell,win,Featherweight,SUB Guillotine Choke,2,3:52,http://ufcstats.com/fight-details/8c540eb4afe8c43e,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Dominick Reyes,Nikita Krylov,win,Light Heavyweight,KO/TKO Punch,1,2:24,http://ufcstats.com/fight-details/b2d731415bd367df,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Dan Ige,Sean Woodson,win,Featherweight,KO/TKO Punches,3,1:12,http://ufcstats.com/fight-details/fc43d60cbd6b0e6a,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Virna Jandiroba,Yan Xiaonan,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0eccebee160137b1,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Chase Hooper,Jim Miller,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/11eb27a1ac74d225,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Julian Erosa,Darren Elkins,win,Featherweight,KO/TKO Punches,1,4:15,http://ufcstats.com/fight-details/08e7a39eb7482ebf,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Michal Oleksiejczuk,Sedriques Dumas,win,Middleweight,KO/TKO Punches,1,2:49,http://ufcstats.com/fight-details/4bbda6c1f6cf9d4e,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Sumudaerji,Mitch Raposo,win,Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/fd98843926965cbd,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Marco Tulio,Tresean Gore,win,Middleweight,KO/TKO Punch,2,3:16,http://ufcstats.com/fight-details/b87d6f71d901355b,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Nora Cornolle,Hailey Cowan,win,Women's Bantamweight,SUB Rear Naked Choke,2,1:52,http://ufcstats.com/fight-details/0e71e69359db4d1e,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd
Lerone Murphy,Josh Emmett,win,Featherweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/86a1be10255eea4e,http://ufcstats.com/event-details/86b30a86664cb6e4
Pat Sabatini,Joanderson Brito,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a160e94fdb66de17,http://ufcstats.com/event-details/86b30a86664cb6e4
ChangHo Lee,Cortavious Romious,win,Bantamweight,KO/TKO Elbows,2,3:48,http://ufcstats.com/fight-details/fc3825dd1b67e39d,http://ufcstats.com/event-details/86b30a86664cb6e4
Brad Tavares,Gerald Meerschaert,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0c80eef2f4570543,http://ufcstats.com/event-details/86b30a86664cb6e4
Ode Osbourne,Luis Gurule,win,Flyweight,KO/TKO Punch,2,1:54,http://ufcstats.com/fight-details/de9422207df2de64,http://ufcstats.com/event-details/86b30a86664cb6e4
Torrez Finney,Robert Valentin,win,Middleweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/d1368ca941c1fefc,http://ufcstats.com/event-details/86b30a86664cb6e4
Dione Barbosa,Diana Belbita,win,Women's Flyweight,SUB Arm Triangle,1,4:13,http://ufcstats.com/fight-details/76641669c1607b7a,http://ufcstats.com/event-details/86b30a86664cb6e4
Rhys McKee,Daniel Frunza,win,Welterweight,KO/TKO,1,5:00,http://ufcstats.com/fight-details/58811a4e36c53b89,http://ufcstats.com/event-details/86b30a86664cb6e4
Loma Lookboonmee,Istela Nunes,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/fd088ce1481315a5,http://ufcstats.com/event-details/86b30a86664cb6e4
Victor Henry,Pedro Falcao,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4b1aec2395ebca14,http://ufcstats.com/event-details/86b30a86664cb6e4
Martin Buday,Uran Satybaldiev,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/96cc199d78732d11,http://ufcstats.com/event-details/86b30a86664cb6e4
Talita Alencar,Vanessa Demopoulos,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/cca4d763b1c6de0a,http://ufcstats.com/event-details/86b30a86664cb6e4
Brandon Moreno,Steve Erceg,win,Flyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/33e301872e2b5680,http://ufcstats.com/event-details/0f7210aa8d61af8d
Manuel Torres,Drew Dober,win,Lightweight,KO/TKO Punches,1,1:45,http://ufcstats.com/fight-details/8fc8d66ad0074ab0,http://ufcstats.com/event-details/0f7210aa8d61af8d
Edgar Chairez,CJ Vergara,win,Flyweight,SUB Rear Naked Choke,1,2:30,http://ufcstats.com/fight-details/ab4a91a59c01d6b6,http://ufcstats.com/event-details/0f7210aa8d61af8d
Raul Rosas Jr.,Vince Morales,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0f20c1d7c44fa5fe,http://ufcstats.com/event-details/0f7210aa8d61af8d
David Martinez,Saimon Oliveira,win,Bantamweight,KO/TKO Knee,1,4:38,http://ufcstats.com/fight-details/55376d5c205fa844,http://ufcstats.com/event-details/0f7210aa8d61af8d
Kevin Borjas,Ronaldo Rodriguez,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5ba7dd466e30169f,http://ufcstats.com/event-details/0f7210aa8d61af8d
Ateba Gautier,Jose Daniel Medina,win,Middleweight,KO/TKO Knee,1,3:32,http://ufcstats.com/fight-details/64fe6e61a24dbf39,http://ufcstats.com/event-details/0f7210aa8d61af8d
Melquizael Costa,Christian Rodriguez,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/41cdbcc0f3635b8f,http://ufcstats.com/event-details/0f7210aa8d61af8d
Loopy Godinez,Julia Polastri,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/7efca050bc7be8ac,http://ufcstats.com/event-details/0f7210aa8d61af8d
Rafa Garcia,Vinc Pichel,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/7e3fc760b26b6ae4,http://ufcstats.com/event-details/0f7210aa8d61af8d
Jamall Emmers,Gabriel Miranda,win,Featherweight,KO/TKO Punch,1,4:06,http://ufcstats.com/fight-details/e2e2537a345367d4,http://ufcstats.com/event-details/0f7210aa8d61af8d
MarQuel Mederos,Austin Hubbard,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/9f66d450af690df5,http://ufcstats.com/event-details/0f7210aa8d61af8d
Sean Brady,Leon Edwards,win,Welterweight,SUB Guillotine Choke,4,1:39,http://ufcstats.com/fight-details/371ed8497799998e,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Carlos Ulberg,Jan Blachowicz,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6d9ea9f436ed354d,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Kevin Holland,Gunnar Nelson,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/96c6be6b22385967,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Alexia Thainara,Molly McCann,win,Women's Strawweight,SUB Rear Naked Choke,1,4:32,http://ufcstats.com/fight-details/b5b4b69bccb9ff4a,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Chris Duncan,Jordan Vucenic,win,Lightweight,SUB Guillotine Choke,2,3:42,http://ufcstats.com/fight-details/8e6640c007ad603d,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Nathaniel Wood,Morgan Charriere,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9779eb1aae1d4654,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Chris Padilla,Jai Herbert,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/2a1071689c3af9df,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Lone'er Kavanagh,Felipe dos Santos,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e5a88f5c686173c4,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Marcin Tybura,Mick Parkin,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/dd229687cb62c871,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Christian Leroy Duncan,Andrey Pulyaev,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8af2b589d5e9c1ae,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Shauna Bannon,Puja Tomar,win,Women's Strawweight,SUB Armbar,2,3:22,http://ufcstats.com/fight-details/a693622ad8c0d672,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Caolan Loughran,Nathan Fletcher,win,Bantamweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/1b02588149d126bf,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Kaue Fernandes,Guram Kutateladze,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/265dbd9be8caa7de,http://ufcstats.com/event-details/cc2ad11b1f9d818b
Roman Dolidze,Marvin Vettori,win,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/67f7163e536d62e2,http://ufcstats.com/event-details/39f62b833e4cf126
Chidi Njokuani,Elizeu Zaleski dos Santos,win,Welterweight,KO/TKO Knee,2,2:19,http://ufcstats.com/fight-details/c83133ee114945ed,http://ufcstats.com/event-details/39f62b833e4cf126
Alexander Hernandez,Kurt Holobaugh,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d8f40b82364b6411,http://ufcstats.com/event-details/39f62b833e4cf126
Da'Mon Blackshear,Cody Gibson,win,Bantamweight,SUB Kimura,2,4:09,http://ufcstats.com/fight-details/ab1aa23060d4e87b,http://ufcstats.com/event-details/39f62b833e4cf126
Brendson Ribeiro,Diyar Nurgozhay,win,Light Heavyweight,SUB Kimura,2,1:28,http://ufcstats.com/fight-details/e56403718205b494,http://ufcstats.com/event-details/39f62b833e4cf126
Kevin Vallejos,SeungWoo Choi,win,Featherweight,KO/TKO Punches,1,3:09,http://ufcstats.com/fight-details/36db86c39ed09997,http://ufcstats.com/event-details/39f62b833e4cf126
Waldo Cortes-Acosta,Ryan Spann,win,Heavyweight,KO/TKO Punches,2,4:48,http://ufcstats.com/fight-details/74bc22b367cca118,http://ufcstats.com/event-details/39f62b833e4cf126
SuYoung You,AJ Cunningham,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/29d9c5a3f2b78903,http://ufcstats.com/event-details/39f62b833e4cf126
Carlos Vera,Josias Musasa,win,Bantamweight,SUB Rear Naked Choke,1,3:16,http://ufcstats.com/fight-details/cb3eb07b7152366e,http://ufcstats.com/event-details/39f62b833e4cf126
Sam Hughes,Stephanie Luciano,win,Women's Strawweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/5fa6543868367f4b,http://ufcstats.com/event-details/39f62b833e4cf126
Andre Lima,Daniel Barez,win,Flyweight,SUB Rear Naked Choke,3,3:05,http://ufcstats.com/fight-details/5d8af316413ea2f7,http://ufcstats.com/event-details/39f62b833e4cf126
Priscila Cachoeira,Josiane Nunes,win,Women's Bantamweight,KO/TKO Punch,1,2:46,http://ufcstats.com/fight-details/1c62a7444808d97f,http://ufcstats.com/event-details/39f62b833e4cf126
Carli Judice,Yuneisy Duben,win,Women's Flyweight,KO/TKO Kick,1,1:40,http://ufcstats.com/fight-details/a8f8245096eaf0cd,http://ufcstats.com/event-details/39f62b833e4cf126
Magomed Ankalaev,Alex Pereira,win,Light Heavyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/9e05fe95a4fc63bc,http://ufcstats.com/event-details/ca936c67687789e9
Justin Gaethje,Rafael Fiziev,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a2f31cf3a28a7730,http://ufcstats.com/event-details/ca936c67687789e9
Ignacio Bahamondes,Jalin Turner,win,Lightweight,SUB Triangle Choke,1,2:29,http://ufcstats.com/fight-details/a3cd6a65aaa9f104,http://ufcstats.com/event-details/ca936c67687789e9
Amanda Lemos,Iasmin Lucindo,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/79f1c9f97d83ec83,http://ufcstats.com/event-details/ca936c67687789e9
Mauricio Ruffy,King Green,win,Lightweight,KO/TKO Kick,1,2:07,http://ufcstats.com/fight-details/231968c02cdfe65e,http://ufcstats.com/event-details/ca936c67687789e9
Joshua Van,Rei Tsuruya,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/af3e43049bc86fe9,http://ufcstats.com/event-details/ca936c67687789e9
Brunno Ferreira,Armen Petrosyan,win,Middleweight,SUB Armbar,2,4:27,http://ufcstats.com/fight-details/e61cb905f6152183,http://ufcstats.com/event-details/ca936c67687789e9
Carlos Leal,Alex Morono,win,Welterweight,KO/TKO Punches,1,4:16,http://ufcstats.com/fight-details/cab4937435d081d0,http://ufcstats.com/event-details/ca936c67687789e9
Mairon Santos,Francis Marshall,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/19fe7177254802d1,http://ufcstats.com/event-details/ca936c67687789e9
Ozzy Diaz,Djorden Santos,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/96c2f85b46e98e91,http://ufcstats.com/event-details/ca936c67687789e9
Manel Kape,Asu Almabayev,win,Flyweight,KO/TKO Punches,3,2:16,http://ufcstats.com/fight-details/9d8a37f130db13e5,http://ufcstats.com/event-details/9766ed20b68c7c33
Cody Brundage,Julian Marquez,win,Middleweight,KO/TKO Punches,1,4:45,http://ufcstats.com/fight-details/6bdf0756fb57aced,http://ufcstats.com/event-details/9766ed20b68c7c33
Nasrat Haqparast,Esteban Ribovics,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/061990783b9bdb36,http://ufcstats.com/event-details/9766ed20b68c7c33
Hyder Amil,William Gomis,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/0dfdc94c1da32e20,http://ufcstats.com/event-details/9766ed20b68c7c33
Sam Patterson,Danny Barlow,win,Welterweight,KO/TKO Punch,1,3:10,http://ufcstats.com/fight-details/d6c3b730dc9f21a5,http://ufcstats.com/event-details/9766ed20b68c7c33
Mario Pinto,Austen Lane,win,Heavyweight,KO/TKO Punch,2,0:39,http://ufcstats.com/fight-details/a857acedb53ee959,http://ufcstats.com/event-details/9766ed20b68c7c33
Chepe Mariscal,Ricardo Ramos,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/dd1df7f5a54fd9fc,http://ufcstats.com/event-details/9766ed20b68c7c33
Danny Silva,Lucas Almeida,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/1de799f17556b501,http://ufcstats.com/event-details/9766ed20b68c7c33
JJ Aldrich,Andrea Lee,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/1ada4b9ee5810e0f,http://ufcstats.com/event-details/9766ed20b68c7c33
Ramazan Temirov,Charles Johnson,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/206b8c14546d71f1,http://ufcstats.com/event-details/9766ed20b68c7c33
Song Yadong,Henry Cejudo,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b959e2c1d16ff832,http://ufcstats.com/event-details/c50ea21fe9ef478d
Anthony Hernandez,Brendan Allen,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0cdca4c22b8d3ab5,http://ufcstats.com/event-details/c50ea21fe9ef478d
Rob Font,Jean Matsumoto,win,Catch Weight,S-DEC,3,5:00,http://ufcstats.com/fight-details/19c8092496e94b85,http://ufcstats.com/event-details/c50ea21fe9ef478d
Jean Silva,Melsik Baghdasaryan,win,Featherweight,KO/TKO Punch,1,4:15,http://ufcstats.com/fight-details/8ef7723b6a8b45e1,http://ufcstats.com/event-details/c50ea21fe9ef478d
Alonzo Menifield,Julius Walker,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/c0d8a231d2f1d1af,http://ufcstats.com/event-details/c50ea21fe9ef478d
Ion Cutelaba,Ibo Aslan,win,Light Heavyweight,SUB Arm Triangle,1,2:51,http://ufcstats.com/fight-details/08763e87e10b9709,http://ufcstats.com/event-details/c50ea21fe9ef478d
Melquizael Costa,Andre Fili,win,Featherweight,SUB Guillotine Choke,1,4:30,http://ufcstats.com/fight-details/3ded9bfdfb75f39b,http://ufcstats.com/event-details/c50ea21fe9ef478d
Mansur Abdul-Malik,Nick Klein,win,Middleweight,KO/TKO Punches,2,3:24,http://ufcstats.com/fight-details/e011819e721c4a2a,http://ufcstats.com/event-details/c50ea21fe9ef478d
Ricky Simon,Javid Basharat,win,Bantamweight,KO/TKO Punch,1,3:58,http://ufcstats.com/fight-details/bc6d70ab959dce70,http://ufcstats.com/event-details/c50ea21fe9ef478d
Austin Vanderford,Nikolay Veretennikov,win,Catch Weight,KO/TKO Punches,2,4:13,http://ufcstats.com/fight-details/615f7f894bafad82,http://ufcstats.com/event-details/c50ea21fe9ef478d
Nursulton Ruziboev,Eric McConico,win,Middleweight,KO/TKO Punch,2,0:33,http://ufcstats.com/fight-details/e9dfc2f009a77a8d,http://ufcstats.com/event-details/c50ea21fe9ef478d
Modestas Bukauskas,Rafael Cerqueira,win,Light Heavyweight,KO/TKO Punches,1,2:12,http://ufcstats.com/fight-details/b6475543ab6d20c9,http://ufcstats.com/event-details/c50ea21fe9ef478d
Jared Cannonier,Gregory Rodrigues,win,Middleweight,KO/TKO Punches,4,0:21,http://ufcstats.com/fight-details/365e2d891b98b86d,http://ufcstats.com/event-details/ce7871949b0ed2bf
Youssef Zalal,Calvin Kattar,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/68913a422f548ccc,http://ufcstats.com/event-details/ce7871949b0ed2bf
Edmen Shahbazyan,Dylan Budka,win,Middleweight,KO/TKO Punch,1,1:35,http://ufcstats.com/fight-details/f5386c98fea7f5d4,http://ufcstats.com/event-details/ce7871949b0ed2bf
Nazim Sadykhov,Ismael Bonfim,win,Lightweight,KO/TKO,1,5:00,http://ufcstats.com/fight-details/ce1436a9b58902a7,http://ufcstats.com/event-details/ce7871949b0ed2bf
Andre Petroski,Rodolfo Vieira,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/875b249ebe45a66b,http://ufcstats.com/event-details/ce7871949b0ed2bf
Jose Delgado,Connor Matthews,win,Featherweight,KO/TKO Punches,1,2:58,http://ufcstats.com/fight-details/2a493f15e079a7ff,http://ufcstats.com/event-details/ce7871949b0ed2bf
